PRODUCTNAME;DESCRIPTION;IMGURL;PRICE;CODE;SLEVA;KATEGORIE;PARAMETRY;AKCE;DOPORUCUJEME;DAREK;MATERIAL;DOSTUPNOST;STANDARD_PRICE;ROZMERY;BARVY
Zahradní nábytek set polstry žluté;Nábytek zahradní 5-dílný MONTEREY - 1x stůl + 4x židle, vyrobeno z akacie - tropického dřeva. Akácie je velmi odolná proti stárnutí a biologické degradaci, při doporučené údržbě teakovým olejem je životnost nábytku velmi dlouhá.;/nabytek_doplnky/nahledy/1602.jpg;8990;440009+30215;;Zahradní nábytek z exotického dřeva;Set obsahuje kulatý stůl průměr 120cm, výška 72cm, 4 židle 46,5x58x92,5cm, u stolu jsou sklápěcí bočnice - set je možné složit. JEDNODUCHÉ A PRAKTICKÉ SKLADOVÁNÍ. Polstry vyrobeny v ČR;0;0;0;Dřevo;2 až 3 týdny;0;;
Zahradní nábytek set s lavicí zelené polstry;Nábytek zahradní 4-dílný z tropického dřeva Acacia, obsahuje 1x lavice, 2x křeslo, 1x patrový stůl. Kompletní sada polstrů vyrobených v České republice;/nabytek_doplnky/nahledy/1679.jpg;8990;440010+30219+30220;;Zahradní nábytek z exotického dřeva;Rozměry: lavice 89x150x58cm, křeslo 89x64,5x58cm, stůl 60x57X120 cm. Dřevo ošetřeno teakovým olejem. Akácie je velmi odolná proti stárnutí a biologické degradaci, při doporučené údržbě teakovým olejem je životnost nábytku velmi dlouhá.;0;0;0;Dřevo;2 až 3 týdny;0;;
Zahradní nábytek set s lavicí žluté polstry;Nábytek zahradní 4-dílný z tropického dřeva Acacia, obsahuje 1x lavice, 2x křeslo, 1x patrový stůl. Kompletní sada polstrů vyrobených v České republice;/nabytek_doplnky/nahledy/1510.jpg;8990;440010+30221+30222;;Zahradní nábytek z exotického dřeva;Rozměry: lavice 89x150x58cm, křeslo 89x64,5x58cm, stůl 60x57X120 cm. Dřevo ošetřeno teakovým olejem. Akácie je velmi odolná proti stárnutí a biologické degradaci, při doporučené údržbě teakovým olejem je životnost nábytku velmi dlouhá.;0;0;0;Dřevo;2 až 3 týdny;0;;
Zahradní nábytek set sedmidílný polstry zelené;Zahradní jídelní souprava z topického dřeva s poltry - 1x velký oválný stůl, 2x křeslo, 4x židle, vyrobeno z akacie - tropického dřeva.;/nabytek_doplnky/nahledy/1604.jpg;10890;440008+30216;;Zahradní nábytek z exotického dřeva;Set obsahuje stůl 150x90x73cm, 2x křeslo 57x62x92cm, 4x židle 47x62x92cm. Dřevo ošetřeno teakovým olejem. Stůl, židle i křesla lze skládat. Polstry vyrobeny v ČR. Akácie je velmi odolná proti stárnutí a biologické degradaci, při doporučené údržbě teakovým olejem je životnost nábytku velmi dlouhá.;0;0;0;Dřevo;2 až 3 týdny;0;;
Zahradní nábytek set sedmidílný polstry žluté;Zahradní jídelní souprava z topického dřeva s poltry - 1x velký oválný stůl, 2x křeslo, 4x židle, vyrobeno z akacie - tropického dřeva.;/nabytek_doplnky/nahledy/1603.jpg;10890;440008+30217;;Zahradní nábytek z exotického dřeva;Set obsahuje stůl 150x90x73cm, 2x křeslo 57x62x92cm, 4x židle 47x62x92cm. Dřevo ošetřeno teakovým olejem. Stůl, židle i křesla lze skládat. Polstry vyrobeny v ČR. Akácie je velmi odolná proti stárnutí a biologické degradaci, při doporučené údržbě teakovým olejem je životnost nábytku velmi dlouhá.;0;0;0;;2 až 3 týdny;0;;
Zásuvka;Zásuvka s pevnou dřevěnou kostrou a výpletem z přírodní kapradiny;/nabytek_doplnky/nahledy/709.jpg;239;110032;;Proutí a košíky;velikost 39x33x16 cm;0;0;0;;2 až 3 týdny;0;;
Zásuvka barevná vysoká menší;Ratan proutí - zásuvka z mořské trávy s dřevěnou kostrou v barevném provedení dle fotografie výrobku. Praktická zásuvka nejen do skříně na ukládání ruzných věcí.;/nabytek_doplnky/nahledy/2444.jpg;249;5303;;Proutí a košíky;Velikost zásuvky je 43x30x23 cm;0;0;0;;2 až 3 týdny;0;;
Zásuvka barevná vysoká velká;Ratan proutí - zásuvka z mořské trávy s dřevěnou kostrou v barevném provedení dle fotografie výrobku. Praktická zásuvka nejen do skříně na ukládání ruzných věcí.;/nabytek_doplnky/nahledy/450.jpg;699;5302;;Proutí a košíky;Velikost zásuvky je 50x38x25 cm;0;0;0;;2 až 3 týdny;0;;
Zásuvka kapradinová s pevným dnem;Praktická zásuvka s pevnou dřevenou kostrou a výpletem z přírodní kapradiny. Zásuvka je s pevným překližkovým dnem.    ;/nabytek_doplnky/nahledy/1944.jpg;269;5624;;Proutí a košíky;velikost výrobku  50x40x12 cm;0;0;0;;2 až 3 týdny;0;;
Zásuvka kapradinová s pevným dnem - vzhledové vady;Praktická zásuvka s pevnou dřevenou kostrou a výpletem z přírodní kapradiny. Zásuvka je s pevným překližkovým dnem. ;/nabytek_doplnky/nahledy/3267.jpg, /nabytek_doplnky/nahledy/2_3267.jpg;269;5624 1;Sleva 50%;Zboží - mírné vzhledové vady;velikost výrobku  50x40x12 cm Lakované dno zásuvky je místy matné a lak tvoří mapy, což není po vložení předmětů do zásuvky viditelné.;0;0;0;;2 až 3 týdny;0;;
Zásuvka modrý průplet vysoká set 3 ks;Ratan proutí -zásuvky z mořské trávy s dřevěnou kostrou, set obsahuje 3 zásuvky o rozměrech 45x35x26, 40x30x23 a 33x22x21 cm;/nabytek_doplnky/nahledy/451.jpg;699;5299;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Zásuvka set 2 kusy;Ratanový nábytek - set 2 kusů kapradinových zásuvek o rozměrech  37x27x17 a 30x20x15 cm Konstrukce zásuvek je vyrobena z masivního dřeva, výplet je z přírodní kapradiny pocházející ze severní části Vietnamu.;/nabytek_doplnky/nahledy/650.jpg;318;115457;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Zásuvka set 3 kusy;Ratanový nábytek - set 3 kusů kapradinových zásuvek o rozměrech  43x34x19 cm, 37x27x17 cm a 30x20x15 cm Konstrukce zásuvek je vyrobena z masivního dřeva, výplet je z přírodní kapradiny pocházející ze severní části Vietnamu.;/nabytek_doplnky/nahledy/2798.jpg;567;110099;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Zásuvka velká;Ratanový nábytek - zásuvka velká, velikost výrobku 43x34x19 cm;/nabytek_doplnky/nahledy/639.jpg;249;5456;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Zebra stojící;Soška vyrobená ručně z masivního lehkého dřeva ručně barvená.;/nabytek_doplnky/nahledy/465.jpg;1190;42115;Sleva 30%;Dřevěné sošky a masky;Výška sošky 150 cm;0;0;0;;2 až 3 týdny;0;;
Zebra stojící natural;výška 150 cm;/nabytek_doplnky/nahledy/130.jpg;1290;42180;;Dřevěné sošky a masky;;0;0;0;;2 až 3 týdny;0;;
Zrcadlo vysoké ratan kubu;Zrcadlo v rámu z přírodního ratanu kubu v přírodní šedé barvě. Pod skleněnou deskou zrcadla je překližka barvená do šedé barvy ratanu kubu.;/nabytek_doplnky/nahledy/3238.jpg;2490;1500;;Bytové doplňky, stojánky;Celková velikost je 58x115 cm Háček na zavěšení je součástí Z důvodu křehkosti výrobky nedokážeme zrcadlo poslat spediční službou samostatně. Zrcadlo expedujeme buď s dalším zbožím, například sedací soupravou, která je balena na paletě, nebo doporučujeme osobní odběr. Je možné se také domluvit telefonicky na závozu zrcadla přímo naší dopravou. V takovém případě je doručení do 14ti dnů, ale je 100% záruka, že zboží bude doručeno v pořádku.;0;0;0;;2 až 3 týdny;0;;
Židle Banny banánový list;Konstrukce židle je vyrobena z mahagonového dřeva a výplet z banánového listu;/nabytek_doplnky/nahledy/1402.jpg;2190;1175;;Křesla, pohovky a židle;velikost 49x57x105 cm, výška sedu 46 cm, nosnost 135 kg;0;0;0;;2 až 3 týdny;0;;
Židle Larissa wicker mix;Konstrukce židle je vyrobena z masivního mahagonového dřeva. Výplet je vyhotoven z přírodních ratanových proutků průměru cca 3 mm.;/nabytek_doplnky/nahledy/1110.jpg;1990;120036;;Křesla, pohovky a židle;Barva hnědá, nosnost židle 130 kg Velikost židle je 47x50x97 cm, výška sedu 47 cm;0;0;0;;2 až 3 týdny;0;;
Žirafa afrika černá 1m;výška 1 m;/nabytek_doplnky/nahledy/485.jpg;690;42194;;Dřevěné sošky a masky;;0;0;0;;2 až 3 týdny;0;;
Žirafa afrika černá 80 cm;výška 80 cm;/nabytek_doplnky/nahledy/484.jpg;490;42195;;Dřevěné sošky a masky;;0;0;0;;2 až 3 týdny;0;;
Žirafa afrika hnědá 1 m;Žirafa je vyřezána ručně z masivního měkkého dřeva, barvena je taktéž ručně, každý kus je tak originál. ;/nabytek_doplnky/nahledy/488.jpg;690;42191;;Dřevěné sošky a masky;Výška sošky je 100 cm;0;0;0;;2 až 3 týdny;0;;
Žirafa afrika hnědá 80 cm;Žirafa je vyřezána ručně z masivního měkkého dřeva, barvena je taktéž ručně, každý kus je tak originál. ;/nabytek_doplnky/nahledy/487.jpg;490;42192;;Dřevěné sošky a masky;Výška sošky je 80 cm;0;0;0;;2 až 3 týdny;0;;
Žirafa family;Žirafa je vyřezána ručně z masivního měkkého dřeva, barvena je taktéž ručně, každý kus je tak originál. ;/nabytek_doplnky/nahledy/131.jpg;1349;42114;;Dřevěné sošky a masky;Výška sošky je 100 cm;0;0;0;;2 až 3 týdny;0;;
Žirafa stojící textura;výška 120 cm;/nabytek_doplnky/nahledy/115.jpg;990;42171;;Dřevěné sošky a masky;;0;0;0;;2 až 3 týdny;0;;
Žirafa stojící textura;Žirafa je vyřezána ručně z masivního měkkého dřeva, barvena je taktéž ručně, každý kus je tak originál. Zdobení je doplněno přírodním ratanem;/nabytek_doplnky/nahledy/116.jpg;590;42113;;Dřevěné sošky a masky;Výška žirafy je 80 cm;0;0;0;;2 až 3 týdny;0;;
Žirafa stojící textura bílá;výška 120 cm;/nabytek_doplnky/nahledy/117.jpg;990;42170;;Dřevěné sošky a masky;;0;0;0;;2 až 3 týdny;0;;
Žirafa stojící textura bílá;Žirafa je vyřezána ručně z masivního měkkého dřeva, barvena je taktéž ručně, každý kus je tak originál. Zdobení je doplněno přírodním ratanem;/nabytek_doplnky/nahledy/118.jpg;590;42113 W;;Dřevěné sošky a masky;Výška žirafy je 80 cm.;0;0;0;;2 až 3 týdny;0;;
ratanové křeslo KING ušák - světlé;Ratanové křeslo KING zvané ušák v naší nabídce. Nádherné pohodlné ratanové křeslo s vysokým pohodlným sedákem na sedací části, pohodlí zajistí i druhý díl sedáku na opěrné části ratanového křesla. Konstrukce pohodlného křesla je vyrobena z ratanu. Veškeré plochy jsou tvořeny ručně hustým výpletem z ratanového proutí v přírodním šedém odstínu z přírodního ratanového proutí zvaného cubu grey. Součástí pohodlného křesla je dvoudílný sedák v bílém odstínu. Objednejte si originální kus exotického pohodlného křesla za bezkonkurenční cenu. Toto ratanové křeslo brzy vyprodáme, neváhejte s objednávkou.;/nabytek_doplnky/nahledy/k016s-king-ratanove-kreslo-usak-svetle-obrazek1.jpg, /nabytek_doplnky/nahledy/k016s-king-ratanove-kreslo-usak-svetle-obrazek2.jpg, /nabytek_doplnky/nahledy/k016s-king-ratanove-kreslo-usak-svetle-obrazek3.jpg, /nabytek_doplnky/nahledy/k016s-king-ratanove-kreslo-usak-svetle-obrazek4.jpg, /nabytek_doplnky/nahledy/k016s-king-ratanove-kreslo-usak-svetle-detail-obrazek1.jpg;3061.3;K016S;;ratanová křesla a ratanové pohovky;výška sedu se sedákem 46 cm výška celkem (opěradla) 96 cm šířka vnější 80 cm hloubka (vnější) 90 cm hloubka sedu 53 cm šířka sedu 49 cm maximální nosnost 130 kg odstín přírodní šedý - cubu grey;0;0;0;Ratan;2 až 3 týdny;0;;
ratanové křeslo KING ušák - tmavé;Ratanové křeslo KING zvané ušák v naší nabídce. Nádherné pohodlné ratanové křeslo s vysokým pohodlným sedákem na sedací části, pohodlí zajistí i druhý díl sedáku na opěrné části ratanového křesla. Konstrukce pohodlného křesla je vyrobena z ratanu. Veškeré plochy jsou tvořeny ručně hustým výpletem z ratanového proutí lakovaného do odstínu tmavý med. Součástí pohodlného křesla je dvoudílný sedák v bílém odstínu. Objednejte si originální kus exotického pohodlného křesla za bezkonkurenční cenu. Toto ratanové křeslo brzy vyprodáme, neváhejte s objednávkou.;/nabytek_doplnky/nahledy/k016t-king-ratanove-kreslo-usak-tmave-obrazek1.jpg, /nabytek_doplnky/nahledy/k016t-king-ratanove-kreslo-usak-tmave-obrazek2.jpg, /nabytek_doplnky/nahledy/k016t-king-ratanove-kreslo-usak-tmave-obrazek3.jpg, /nabytek_doplnky/nahledy/k016t-king-ratanove-kreslo-usak-tmave-obrazek4.jpg, /nabytek_doplnky/nahledy/k016t-king-ratanove-kreslo-usak-tmave-detail-obrazek1.jpg;3061.3;K016T;;ratanová křesla a ratanové pohovky;výška sedu se sedákem 46 cm výška celkem (opěradla) 96 cm šířka vnější 80 cm hloubka (vnější) 90 cm hloubka sedu 53 cm šířka sedu 49 cm maximální nosnost 130 kg odstín tmavě hnědý - tmavý med;0;0;0;Ratan;2 až 3 týdny;0;;
ratanová jídelní židle BELAGIO;Jídelní židle BELAGIO je originální kvalitní jídelní židle z exotických materiálů. Pevná stabilní konstrukce je vyrobena z mahagonového dřeva tentokrát ve světlejším odstínu. Kvalitní hustý povrch sedací i opěrné plochy je vytvořen ručně z výpletu ratanového proutí. Vyplétané plochy jsou tvořeny kombinací ratanového proutí ve světle hnědém odstínu s přírodním šedým ratanem zvaným cubu grey. Výsledkem je nádherný přírodní povrch tvořen dvěma odstíny světlé zbarveného ratanového proutí. Máme pro vás nabízené židle skladem. Původní cena i cena srovnatelných jídelních židlí je 1900 Kč. neváhejte s objednávkou.;/nabytek_doplnky/nahledy/belagio-ratanova-jidelni-zidle-obrazek1.jpg, /nabytek_doplnky/nahledy/belagio-ratanova-jidelni-zidle-obrazek2.jpg, /nabytek_doplnky/nahledy/belagio-ratanova-jidelni-zidle-obrazek3.jpg, /nabytek_doplnky/nahledy/belagio-ratanova-jidelni-zidle-detail-obrazek1.jpg;1149.5;Z021S;;ratanové jídelní židle, ratanové barové židle;výška opěradla 97 cm celková šířka 47 cm celková hloubka 56 cm výška sedu (se sedákem) 47 cm hloubka sedu 42 cm šířka sedu 48 cm nosnost 100 kg odstín přírodní - světlý;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
ratanová jídelní židle BUENO;Jídelní židle BUENO je originální kvalitní jídelní židle z exotických materiálů. Pevná stabilní konstrukce je vyrobena z mahagonového dřeva tentokrát ve světlejším odstínu. Kvalitní hustý povrch sedací i opěrné plochy je vytvořen ručně z výpletu ratanového proutí. Vyplétané plochy jsou tvořeny kombinací ratanového proutí ve světle hnědém odstínu s přírodním šedým ratanem zvaným cubu grey. Výsledkem je nádherný žíhaný povrch. Tyto jídelní židle jsou nachystány pro vás skladem, z původní ceny 1900 Kč jsme slevili na aktuální cenu 1500 Kč. Podobnou jídelní židli ve stejně kvalitním provedení levněji jinde nekoupíte - neváhejte s objednávkou, skladem jich máme dostatečné množství.;/nabytek_doplnky/nahledy/z020s-belagio-ratanova_jidelni-zidle-obrazek1.jpg, /nabytek_doplnky/nahledy/z020s-belagio-ratanova-jidelni-zidle-obrazek2.jpg, /nabytek_doplnky/nahledy/z020s-belagio-ratanova-jidelni-zidle-obrazek3.jpg, /nabytek_doplnky/nahledy/z020s-belagio-ratanova-jidelni-zidle-detail-obrazek1.jpg;1149.5;Z020S;;ratanové jídelní židle, ratanové barové židle;výška opěradla 97 cm celková šířka 47 cm celková hloubka 56 cm výška sedu (se sedákem) 47 cm hloubka sedu 42 cm šířka sedu 48 cm nosnost 100 kg odstín přírodní - žíhaný ratan;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
ratanový otoman CANDELA s úložným prostorem;Otoman CANDELA vodní hyacint s úložným prostorem - praktický kus ratanového nábytku kombinovaného s vodním hyacintem. Součástí je bílý sedák. Neváhejte s objednávkou.;/nabytek_doplnky/nahledy/k009-candela-otoman-ratan-vodni-hyacint-obrazek3.jpg, /nabytek_doplnky/nahledy/k009-candela-otoman-ratan-vodni-hyacint-obrazek4.jpg, /nabytek_doplnky/nahledy/k009-candela-otoman-ratan-vodni-hyacint-obrazek5.jpg, /nabytek_doplnky/nahledy/k009-candela-otoman-ratan-vodni-hyacint-obrazek6.jpg;1306.8;K009-vodni-hyacint;;křesla a pohovky z mořské trávy, vodního hyacintu a banánového listu;výška 43 cm šířka 65 cm délka 45 cm výška úložného prostoru 18 cm odstín tmavý med;0;0;0;Ratan;2 až 3 týdny;0;;
ratanový otoman LAUNDRY - tmavý;Ratanový otoman LAUNDRY s úložným prostorem - ratanovou zásuvkou. Konstrukce ratanového otomanu je vyrobena z borovice.K ratanovému otomanu náleží sedák v bílé barvě. Objednejte si praktický kus ratanového nábytku do vaší předsíně, či koupelny. Odstín otomanu je tmavě hnědý - tmavý med.;/nabytek_doplnky/nahledy/n049t-laundry-ratanove-sedatko-pradelnik-tmavy-neu-obrazek1(1).jpg, /nabytek_doplnky/nahledy/n049t-laundry-ratanove-sedatko-pradelnik-tmavy-neu-obrazek4(1).jpg, /nabytek_doplnky/nahledy/n049t-laundry-ratanove-sedatko-pradelnik-tmavy-neu-obrazek2(1).jpg, /nabytek_doplnky/nahledy/n049t-laundry-ratanove-sedatko-pradelnik-tmavy-neu-obrazek3(1).jpg;1694;N049T;;ratanová křesla a ratanové pohovky;výška 50 cm šířka 60 cm délka 40 cm rozměry sedáku 40 cm x 38 cm odstín tmavý med;0;0;0;Dřevo;2 až 3 týdny;0;;
ratanový otoman LAUNDRY - světlý;Ratanový otoman LAUNDRY . Konstrukce ratanového otomanu je vyrobena z borovice. Sedák v bílé barvě je součástí ratanového otomanu. Otoman má úložný prostor - ratanovou zásuvku. Objednejte si praktický kus ratanového nábytku do vaší předsíně, či koupelny.;/nabytek_doplnky/nahledy/n049s-laundry-ratanovy-pradelnik-sedatko-svetle-obrazek1.jpg;1694;N049S;;ratanová křesla a ratanové pohovky;výška 50 cm šířka 60 cm délka 40 cm rozměr sedáku 40 cm x 38 cm odstín světlý ned;0;0;0;Borovicové dřevo;2 až 3 týdny;0;;
ratanové křeslo BAHAMA - tmavé;Ratanové křeslo BAHAMA ve tmavém provedení - v odstínu tmavý med. Nabízíme vám samostatně ratanové křeslo, máte možnost výběru z více druhů sedáků. U tohoto ratanového křesla si můžete vybrat z více variant bavlněných látek na kvalitních polstrech, které jsou pro nás vyráběny v České republice. U látek zvaných KEPR je příplatek 70 Kč (3 EUR). na jedno ratanové křeslo. Nákup ratanového křesla ve zvoleném počtu uskutečníte vstupem do sekce VARIANTY a následným vložením vámi vybraného polstrování do nákupního košíku.;/nabytek_doplnky/nahledy/s001tb-bahama-k5-ratnove-kreslo-tmave-obrazek1.jpg, /nabytek_doplnky/nahledy/s001tb-bahama-k101-ratnove-kreslo-tmave-obrazek1(2).jpg, /nabytek_doplnky/nahledy/s001tb-bahama-l11-ratanove-kreslo-tmave-obrazek1(1).jpg, /nabytek_doplnky/nahledy/s001tb-bahama-l17-ratanove-kreslo-tmave-obrazek1.jpg, /nabytek_doplnky/nahledy/s001tb-bahama-l28-ratanove-kreslo-tmave-obrazek1(1).jpg, /nabytek_doplnky/nahledy/s001tb-bahama-l27-ratanove-kreslo-tmave-obrazek1(2).jpg, /nabytek_doplnky/nahledy/s001tb-bahama-l20-ratanove-kreslo-tmave-obrazek1(2).jpg;968;S001Tb;;ratanová křesla a ratanové pohovky;šířka křesla (vnější) 75 cm výška sedu s polstrem 47 cm výška opěradla 78 cm odstín tmavý med;0;0;0;Ratan;2 až 3 týdny;0;;
ratanové křeslo LAURA - světlé;Ratanové křeslo LAURA nabízí velmi pohodlné sezení v originálním designu soupravy v bílém provedení. Konstrukce ratanového křesla je kovová, výplet je vyroben z umělého ratanu. Součástí ratanového křesla je pohodlný sedák.;/nabytek_doplnky/nahledy/etp-zys52sb-laura-_kreslo-svetle-umely-ratan-obrazek1(1).jpg, /nabytek_doplnky/nahledy/etp-zys52sb-laura-_kreslo-svetle-umely-ratan-obrazek2.jpg, /nabytek_doplnky/nahledy/etp-zys52sb-laura-_kreslo-svetle-umely-ratan-obrazek3(1).jpg, /nabytek_doplnky/nahledy/etp-zys52s-laura-_detail--umely-ratan-obrazek3(1).jpg;2988.7;ETP-ZY852Sb;;křesla, židle a stoly z umělého ratanu;hlounbka sedu s polstrem 47 cm výška sedu s polstrem 48 cm hloubka křesla (vnější) 58 cm šířka křesla (vnější) 56 cm výška opěradla 82 cm maximální nosnost 120 kg odstín tmavý;0;0;0;Aluminium;2 až 3 týdny;0;;
ratanové křeslo LAURA - tmavé;Ratanové křeslo LAURA nabízí velmi pohodlné sezení v originálním designu soupravy tmavého odstínu. Konstrukce ratanového křesla je alumiová, výplet je vyroben z umělého ratanu. Součástí ratanového křesla je pohodlný sedák.;/nabytek_doplnky/nahledy/etp-zys52tb-laura-_kreslo-tmave-umely-ratan-obrazek1(1).jpg, /nabytek_doplnky/nahledy/etp-zys52tb-laura-_kreslo-tmave-umely-ratan-obrazek3(1).jpg, /nabytek_doplnky/nahledy/etp-zys52tb-laura-_kreslo-tmave-umely-ratan-obrazek2(1).jpg;2988.7;ETP-ZY852Tb;;křesla, židle a stoly z umělého ratanu;hlounbka sedu s polstrem 47 cm výška sedu s polstrem 48 cm hloubka křesla (vnější) 58 cm šířka křesla (vnější) 56 cm výška opěradla 82 cm maximální nosnost 120 kg odstín tmavý;0;0;0;Aluminium;2 až 3 týdny;0;;
ratanová sedací souprava LAURA- tmavá;Ratanová sedací souprava LAURA ve velmi originálním provedení. Ratanovou soupravu máme pro vás ve složení dvou křesel a stolku. Ke křeslům vám dodáme sedáky, součástí stolku je skleněná deska. Sedací souprava je bezúdržbová, tedy vhodná do vnějšího prostředí - třeba na terasu. Neváhejte s objednávkou velmi originální sestavy zahradního ratanového nábytku.;/nabytek_doplnky/nahledy/etp-zys52t-laura-_sedaci-souprava-tmava-umely-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/etp-zys52tb-laura-_kreslo-tmave-umely-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/etp-zys52tb-laura-_kreslo-tmave-umely-ratan-obrazek2.jpg, /nabytek_doplnky/nahledy/etp-zys52tb-laura-_kreslo-tmave-umely-ratan-obrazek3.jpg;7574.6;ETP-ZY852ST;;sedaci soupravy a jídelní soupravy z umělého ratanu;výška stolku 77 cm průměr skleněné desky 60 cm šířka x hloubka křesla 56 cm x 58 cm výška sedu 47 cm výška opěradla 82 cm maximální nosnsost 110 kg odstín bílý;0;0;0;Hliník;2 až 3 týdny;0;;
ratanová sedací souprava LAURA - světlá;Ratanová sedací souprava LAURA ve velmi originálním bílém provedení. Ratanovou soupravu máme pro vás ve složení dvou křesel a stolku. Konstrukce sedací soupravy je vyrobena z alumunia. Ke křeslům vám dodáme sedáky, součástí stolku je skleněná deska. Sedací souprava je bezúdržbová, tedy vhodná do vnějšího prostředí - třeba na terasu. Neváhejte s objednávkou velmi originální sestavy zahradního nábytku.;/nabytek_doplnky/nahledy/etp-zys52s_-laura-_sedaci-souprava-svetla-umely-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/etp-zys52sb-laura-_kreslo-svetle-umely-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/etp-zys52sb-laura-_kreslo-svetle-umely-ratan-obrazek3.jpg, /nabytek_doplnky/nahledy/etp-zys52s-laura-_detail--umely-ratan-obrazek3.jpg;7574.6;ETP-ZY852S;;sedaci soupravy a jídelní soupravy z umělého ratanu;výška stolku 77 cm průměr skleněné desky 60 cm šířka x hloubka křesla 56 cm x 58 cm výška sedu 47 cm výška opěradla 82 cm maximální nosnsost 110 kg odstín bílý;0;0;0;Hliník;2 až 3 týdny;0;;
ratanová sedací souprava DREAM - tmavá;Ratanová sedací souprava DREAM v tmavém provedení je originálně vyrobená sedací souprava. Konstrukce ratanové sedací soupravy je aluminiová, plochy jsou pokryty výpletem z umělého ratanu. Sedací souprava je prakticky nezničitelná, nepodléhá korozi ani změně povrchu materiálu sedacích ploch. Neváhejte s instalací na vaší terase, zahradě, či u bazénu. Umělý ratan je v současné době velmi využívaný vzhledem ke svým vlastnostem a malými nároky na údržbu Sedáky jsou v ceně soupravy. Neváhejte s objednávkou designově originální ratanové sedací soupravy.;/nabytek_doplnky/nahledy/etp-sf125t_-dream_-_sedaci-souprava-tmava-umely-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/etp-sf125tb_-dream_-_kreslo-tmave-umely-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/etp-sf125tb_-dream_-_kreslo-tmave-umely-ratan-obrazek2(1).jpg;9873.6;ETP-SF125T;;sedaci soupravy a jídelní soupravy z umělého ratanu;hloubka sedu s polstrem 50 cm výška sedu s polstrem 43 cm šířka křesla 71 cm výška křesla 72 cm maximální nosnost 120 kg výška stolku 50 cm odstín černý průměr skleněné desky 53 cm;0;0;0;Kov;2 až 3 týdny;0;;
ratanová sedací souprava DREAM - světlá;Ratanová sedací souprava DREAM světlá je originálně vyrobená sedací souprava. Konstrukce ratanové sedací soupravy je aluminiová, veškeré plochy jsou pokryty bílým výpletem z umělého ratanu. Sedací souprava je prakticky nezničitelná, nepodléhá korozi ani změně povrchu materiálu sedacích ploch. Neváhejte s využitím na vaší, terase, zahradš, či u bazénu. Umělý ratan je v současné době velmi využívaný vzhledem ke svým vlastnostem a malými nároky na údržbu Sedáky jsou v ceně soupravy. Neváhejte s objednávkou originální designové ratanové sedací soupravy.;/nabytek_doplnky/nahledy/etp-sf125s_-dream_-_sedaci-souprava-svetla-umely-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/etp-sf125sb_-dream_-_kreslo-svetle-umely-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/etp-sf125sb_-dream_-_kreslo-svetle-umely-ratan-obrazek2.jpg, /nabytek_doplnky/nahledy/etp-sf125s_-dream_-_sedaci-souprava-svetla-detail-umely-ratan-obrazek2.jpg, /nabytek_doplnky/nahledy/etp-sf125s_-dream_-_sedaci-souprava-svetla-detail-umely-ratan-obrazek1.jpg;9873.6;ETP-SF125S;;sedaci soupravy a jídelní soupravy z umělého ratanu;hloubka sedu s polstrem 50 cm výška sedu s polstrem 43 cm šířka křesla 71 cm výška křesla 72 cm maximální nosnost 120 kg výška stolku 50 cm odstín bílý průměr skleněné desky 53 cm;0;0;0;Kov;2 až 3 týdny;0;;
